"","Month","Team","Hits"
"1","2013-06","Liverpool",15
"2","2013-07","Liverpool",18
"3","2013-08","Liverpool",21
"4","2013-09","Liverpool",18
"5","2013-10","Liverpool",12
"6","2013-11","Liverpool",13
"7","2013-12","Liverpool",19
"8","2014-01","Liverpool",20
"9","2014-02","Liverpool",19
"10","2014-03","Liverpool",19
"11","2014-04","Liverpool",27
"12","2014-05","Liverpool",19
"13","2014-06","Liverpool",16
"14","2014-07","Liverpool",25
"15","2014-08","Liverpool",30
"16","2014-09","Liverpool",17
"17","2014-10","Liverpool",18
"18","2014-11","Liverpool",17
"19","2014-12","Liverpool",20
"20","2015-01","Liverpool",20
"21","2015-02","Liverpool",20
"22","2015-03","Liverpool",18
"23","2015-04","Liverpool",15
"24","2015-05","Liverpool",15
"25","2015-06","Liverpool",17
"26","2015-07","Liverpool",20
"27","2015-08","Liverpool",21
"28","2015-09","Liverpool",16
"29","2015-10","Liverpool",21
"30","2015-11","Liverpool",18
"31","2015-12","Liverpool",19
"32","2016-01","Liverpool",25
"33","2016-02","Liverpool",20
"34","2016-03","Liverpool",19
"35","2016-04","Liverpool",28
"36","2016-05","Liverpool",25
"37","2016-06","Liverpool",14
"38","2016-07","Liverpool",20
"39","2016-08","Liverpool",24
"40","2016-09","Liverpool",18
"41","2016-10","Liverpool",21
"42","2016-11","Liverpool",15
"43","2016-12","Liverpool",17
"44","2017-01","Liverpool",23
"45","2017-02","Liverpool",13
"46","2017-03","Liverpool",12
"47","2017-04","Liverpool",13
"48","2017-05","Liverpool",16
"49","2017-06","Liverpool",16
"50","2017-07","Liverpool",21
"51","2017-08","Liverpool",32
"52","2017-09","Liverpool",20
"53","2017-10","Liverpool",16
"54","2017-11","Liverpool",14
"55","2017-12","Liverpool",22
"56","2018-01","Liverpool",31
"57","2018-02","Liverpool",20
"58","2018-03","Liverpool",21
"59","2018-04","Liverpool",50
"60","2018-05","Liverpool",62
"61","2018-06","Liverpool",19
"62","2018-07","Liverpool",25
"63","2018-08","Liverpool",26
"64","2018-09","Liverpool",33
"65","2018-10","Liverpool",22
"66","2018-11","Liverpool",23
"67","2018-12","Liverpool",39
"68","2019-01","Liverpool",36
"69","2019-02","Liverpool",36
"70","2019-03","Liverpool",31
"71","2019-04","Liverpool",43
"72","2019-05","Liverpool",69
"73","2019-06","Liverpool",41
"74","2019-07","Liverpool",21
"75","2019-08","Liverpool",40
"76","2019-09","Liverpool",25
"77","2019-10","Liverpool",32
"78","2019-11","Liverpool",34
"79","2019-12","Liverpool",61
"80","2020-01","Liverpool",42
"81","2020-02","Liverpool",39
"82","2020-03","Liverpool",27
"83","2020-04","Liverpool",8
"84","2020-05","Liverpool",8
"85","2020-06","Liverpool",20
"86","2020-07","Liverpool",26
"87","2020-08","Liverpool",19
"88","2020-09","Liverpool",28
"89","2020-10","Liverpool",30
"90","2020-11","Liverpool",24
"91","2020-12","Liverpool",30
"92","2021-01","Liverpool",35
"93","2021-02","Liverpool",28
"94","2021-03","Liverpool",20
"95","2021-04","Liverpool",29
"96","2021-05","Liverpool",28
"97","2021-06","Liverpool",10
"98","2021-07","Liverpool",13
"99","2021-08","Liverpool",24
"100","2021-09","Liverpool",26
"101","2021-10","Liverpool",35
"102","2021-11","Liverpool",29
"103","2021-12","Liverpool",35
"104","2022-01","Liverpool",28
"105","2022-02","Liverpool",40
"106","2022-03","Liverpool",32
"107","2022-04","Liverpool",66
"108","2022-05","Liverpool",93
"109","2022-06","Liverpool",16
"110","2022-07","Liverpool",40
"111","2022-08","Liverpool",47
"112","2022-09","Liverpool",31
"113","2022-10","Liverpool",58
"114","2022-11","Liverpool",27
"115","2022-12","Liverpool",29
"116","2023-01","Liverpool",37
"117","2023-02","Liverpool",46
"118","2023-03","Liverpool",46
"119","2023-04","Liverpool",46
"120","2023-05","Liverpool",31
"121","2013-06","Manchester City",4
"122","2013-07","Manchester City",4
"123","2013-08","Manchester City",6
"124","2013-09","Manchester City",5
"125","2013-10","Manchester City",5
"126","2013-11","Manchester City",4
"127","2013-12","Manchester City",8
"128","2014-01","Manchester City",7
"129","2014-02","Manchester City",13
"130","2014-03","Manchester City",10
"131","2014-04","Manchester City",8
"132","2014-05","Manchester City",8
"133","2014-06","Manchester City",2
"134","2014-07","Manchester City",5
"135","2014-08","Manchester City",8
"136","2014-09","Manchester City",8
"137","2014-10","Manchester City",5
"138","2014-11","Manchester City",7
"139","2014-12","Manchester City",6
"140","2015-01","Manchester City",7
"141","2015-02","Manchester City",8
"142","2015-03","Manchester City",8
"143","2015-04","Manchester City",7
"144","2015-05","Manchester City",4
"145","2015-06","Manchester City",3
"146","2015-07","Manchester City",6
"147","2015-08","Manchester City",9
"148","2015-09","Manchester City",7
"149","2015-10","Manchester City",7
"150","2015-11","Manchester City",6
"151","2015-12","Manchester City",8
"152","2016-01","Manchester City",7
"153","2016-02","Manchester City",11
"154","2016-03","Manchester City",7
"155","2016-04","Manchester City",17
"156","2016-05","Manchester City",12
"157","2016-06","Manchester City",4
"158","2016-07","Manchester City",7
"159","2016-08","Manchester City",10
"160","2016-09","Manchester City",13
"161","2016-10","Manchester City",11
"162","2016-11","Manchester City",8
"163","2016-12","Manchester City",10
"164","2017-01","Manchester City",8
"165","2017-02","Manchester City",9
"166","2017-03","Manchester City",9
"167","2017-04","Manchester City",11
"168","2017-05","Manchester City",6
"169","2017-06","Manchester City",5
"170","2017-07","Manchester City",9
"171","2017-08","Manchester City",8
"172","2017-09","Manchester City",10
"173","2017-10","Manchester City",9
"174","2017-11","Manchester City",9
"175","2017-12","Manchester City",17
"176","2018-01","Manchester City",13
"177","2018-02","Manchester City",12
"178","2018-03","Manchester City",11
"179","2018-04","Manchester City",21
"180","2018-05","Manchester City",5
"181","2018-06","Manchester City",4
"182","2018-07","Manchester City",6
"183","2018-08","Manchester City",10
"184","2018-09","Manchester City",7
"185","2018-10","Manchester City",8
"186","2018-11","Manchester City",10
"187","2018-12","Manchester City",12
"188","2019-01","Manchester City",15
"189","2019-02","Manchester City",20
"190","2019-03","Manchester City",12
"191","2019-04","Manchester City",29
"192","2019-05","Manchester City",17
"193","2019-06","Manchester City",5
"194","2019-07","Manchester City",6
"195","2019-08","Manchester City",13
"196","2019-09","Manchester City",10
"197","2019-10","Manchester City",9
"198","2019-11","Manchester City",14
"199","2019-12","Manchester City",15
"200","2020-01","Manchester City",13
"201","2020-02","Manchester City",16
"202","2020-03","Manchester City",8
"203","2020-04","Manchester City",2
"204","2020-05","Manchester City",2
"205","2020-06","Manchester City",9
"206","2020-07","Manchester City",12
"207","2020-08","Manchester City",19
"208","2020-09","Manchester City",9
"209","2020-10","Manchester City",10
"210","2020-11","Manchester City",9
"211","2020-12","Manchester City",12
"212","2021-01","Manchester City",14
"213","2021-02","Manchester City",17
"214","2021-03","Manchester City",13
"215","2021-04","Manchester City",28
"216","2021-05","Manchester City",37
"217","2021-06","Manchester City",5
"218","2021-07","Manchester City",6
"219","2021-08","Manchester City",18
"220","2021-09","Manchester City",20
"221","2021-10","Manchester City",14
"222","2021-11","Manchester City",18
"223","2021-12","Manchester City",18
"224","2022-01","Manchester City",13
"225","2022-02","Manchester City",15
"226","2022-03","Manchester City",17
"227","2022-04","Manchester City",48
"228","2022-05","Manchester City",45
"229","2022-06","Manchester City",6
"230","2022-07","Manchester City",24
"231","2022-08","Manchester City",35
"232","2022-09","Manchester City",26
"233","2022-10","Manchester City",53
"234","2022-11","Manchester City",22
"235","2022-12","Manchester City",21
"236","2023-01","Manchester City",45
"237","2023-02","Manchester City",46
"238","2023-03","Manchester City",28
"239","2023-04","Manchester City",75
"240","2023-05","Manchester City",100
"241","2013-06","Arsenal",19
"242","2013-07","Arsenal",25
"243","2013-08","Arsenal",31
"244","2013-09","Arsenal",26
"245","2013-10","Arsenal",21
"246","2013-11","Arsenal",20
"247","2013-12","Arsenal",23
"248","2014-01","Arsenal",26
"249","2014-02","Arsenal",25
"250","2014-03","Arsenal",20
"251","2014-04","Arsenal",16
"252","2014-05","Arsenal",18
"253","2014-06","Arsenal",16
"254","2014-07","Arsenal",32
"255","2014-08","Arsenal",39
"256","2014-09","Arsenal",24
"257","2014-10","Arsenal",19
"258","2014-11","Arsenal",17
"259","2014-12","Arsenal",19
"260","2015-01","Arsenal",24
"261","2015-02","Arsenal",20
"262","2015-03","Arsenal",20
"263","2015-04","Arsenal",19
"264","2015-05","Arsenal",21
"265","2015-06","Arsenal",19
"266","2015-07","Arsenal",25
"267","2015-08","Arsenal",35
"268","2015-09","Arsenal",19
"269","2015-10","Arsenal",20
"270","2015-11","Arsenal",16
"271","2015-12","Arsenal",21
"272","2016-01","Arsenal",26
"273","2016-02","Arsenal",29
"274","2016-03","Arsenal",21
"275","2016-04","Arsenal",15
"276","2016-05","Arsenal",16
"277","2016-06","Arsenal",18
"278","2016-07","Arsenal",24
"279","2016-08","Arsenal",34
"280","2016-09","Arsenal",21
"281","2016-10","Arsenal",17
"282","2016-11","Arsenal",18
"283","2016-12","Arsenal",18
"284","2017-01","Arsenal",19
"285","2017-02","Arsenal",19
"286","2017-03","Arsenal",17
"287","2017-04","Arsenal",20
"288","2017-05","Arsenal",21
"289","2017-06","Arsenal",19
"290","2017-07","Arsenal",31
"291","2017-08","Arsenal",32
"292","2017-09","Arsenal",19
"293","2017-10","Arsenal",14
"294","2017-11","Arsenal",13
"295","2017-12","Arsenal",19
"296","2018-01","Arsenal",33
"297","2018-02","Arsenal",21
"298","2018-03","Arsenal",19
"299","2018-04","Arsenal",22
"300","2018-05","Arsenal",20
"301","2018-06","Arsenal",17
"302","2018-07","Arsenal",20
"303","2018-08","Arsenal",21
"304","2018-09","Arsenal",14
"305","2018-10","Arsenal",15
"306","2018-11","Arsenal",15
"307","2018-12","Arsenal",25
"308","2019-01","Arsenal",23
"309","2019-02","Arsenal",16
"310","2019-03","Arsenal",18
"311","2019-04","Arsenal",20
"312","2019-05","Arsenal",24
"313","2019-06","Arsenal",13
"314","2019-07","Arsenal",23
"315","2019-08","Arsenal",25
"316","2019-09","Arsenal",18
"317","2019-10","Arsenal",18
"318","2019-11","Arsenal",15
"319","2019-12","Arsenal",23
"320","2020-01","Arsenal",22
"321","2020-02","Arsenal",15
"322","2020-03","Arsenal",9
"323","2020-04","Arsenal",6
"324","2020-05","Arsenal",7
"325","2020-06","Arsenal",14
"326","2020-07","Arsenal",22
"327","2020-08","Arsenal",27
"328","2020-09","Arsenal",26
"329","2020-10","Arsenal",21
"330","2020-11","Arsenal",14
"331","2020-12","Arsenal",20
"332","2021-01","Arsenal",21
"333","2021-02","Arsenal",16
"334","2021-03","Arsenal",14
"335","2021-04","Arsenal",17
"336","2021-05","Arsenal",16
"337","2021-06","Arsenal",12
"338","2021-07","Arsenal",17
"339","2021-08","Arsenal",29
"340","2021-09","Arsenal",16
"341","2021-10","Arsenal",14
"342","2021-11","Arsenal",13
"343","2021-12","Arsenal",22
"344","2022-01","Arsenal",25
"345","2022-02","Arsenal",13
"346","2022-03","Arsenal",14
"347","2022-04","Arsenal",18
"348","2022-05","Arsenal",17
"349","2022-06","Arsenal",13
"350","2022-07","Arsenal",25
"351","2022-08","Arsenal",29
"352","2022-09","Arsenal",24
"353","2022-10","Arsenal",37
"354","2022-11","Arsenal",19
"355","2022-12","Arsenal",19
"356","2023-01","Arsenal",44
"357","2023-02","Arsenal",38
"358","2023-03","Arsenal",33
"359","2023-04","Arsenal",43
"360","2023-05","Arsenal",29
"361","2013-06","Chelsea",16
"362","2013-07","Chelsea",17
"363","2013-08","Chelsea",29
"364","2013-09","Chelsea",15
"365","2013-10","Chelsea",15
"366","2013-11","Chelsea",11
"367","2013-12","Chelsea",16
"368","2014-01","Chelsea",18
"369","2014-02","Chelsea",23
"370","2014-03","Chelsea",18
"371","2014-04","Chelsea",37
"372","2014-05","Chelsea",16
"373","2014-06","Chelsea",14
"374","2014-07","Chelsea",19
"375","2014-08","Chelsea",23
"376","2014-09","Chelsea",18
"377","2014-10","Chelsea",19
"378","2014-11","Chelsea",16
"379","2014-12","Chelsea",18
"380","2015-01","Chelsea",23
"381","2015-02","Chelsea",20
"382","2015-03","Chelsea",21
"383","2015-04","Chelsea",19
"384","2015-05","Chelsea",17
"385","2015-06","Chelsea",13
"386","2015-07","Chelsea",19
"387","2015-08","Chelsea",26
"388","2015-09","Chelsea",18
"389","2015-10","Chelsea",17
"390","2015-11","Chelsea",15
"391","2015-12","Chelsea",20
"392","2016-01","Chelsea",19
"393","2016-02","Chelsea",22
"394","2016-03","Chelsea",16
"395","2016-04","Chelsea",12
"396","2016-05","Chelsea",16
"397","2016-06","Chelsea",10
"398","2016-07","Chelsea",19
"399","2016-08","Chelsea",23
"400","2016-09","Chelsea",19
"401","2016-10","Chelsea",17
"402","2016-11","Chelsea",14
"403","2016-12","Chelsea",20
"404","2017-01","Chelsea",22
"405","2017-02","Chelsea",16
"406","2017-03","Chelsea",15
"407","2017-04","Chelsea",24
"408","2017-05","Chelsea",20
"409","2017-06","Chelsea",15
"410","2017-07","Chelsea",29
"411","2017-08","Chelsea",29
"412","2017-09","Chelsea",24
"413","2017-10","Chelsea",15
"414","2017-11","Chelsea",15
"415","2017-12","Chelsea",17
"416","2018-01","Chelsea",25
"417","2018-02","Chelsea",28
"418","2018-03","Chelsea",21
"419","2018-04","Chelsea",13
"420","2018-05","Chelsea",17
"421","2018-06","Chelsea",12
"422","2018-07","Chelsea",19
"423","2018-08","Chelsea",23
"424","2018-09","Chelsea",17
"425","2018-10","Chelsea",15
"426","2018-11","Chelsea",13
"427","2018-12","Chelsea",16
"428","2019-01","Chelsea",24
"429","2019-02","Chelsea",26
"430","2019-03","Chelsea",14
"431","2019-04","Chelsea",18
"432","2019-05","Chelsea",24
"433","2019-06","Chelsea",12
"434","2019-07","Chelsea",14
"435","2019-08","Chelsea",23
"436","2019-09","Chelsea",13
"437","2019-10","Chelsea",14
"438","2019-11","Chelsea",15
"439","2019-12","Chelsea",16
"440","2020-01","Chelsea",16
"441","2020-02","Chelsea",16
"442","2020-03","Chelsea",10
"443","2020-04","Chelsea",6
"444","2020-05","Chelsea",6
"445","2020-06","Chelsea",16
"446","2020-07","Chelsea",25
"447","2020-08","Chelsea",23
"448","2020-09","Chelsea",25
"449","2020-10","Chelsea",19
"450","2020-11","Chelsea",15
"451","2020-12","Chelsea",19
"452","2021-01","Chelsea",18
"453","2021-02","Chelsea",19
"454","2021-03","Chelsea",17
"455","2021-04","Chelsea",29
"456","2021-05","Chelsea",53
"457","2021-06","Chelsea",13
"458","2021-07","Chelsea",16
"459","2021-08","Chelsea",32
"460","2021-09","Chelsea",25
"461","2021-10","Chelsea",19
"462","2021-11","Chelsea",22
"463","2021-12","Chelsea",27
"464","2022-01","Chelsea",26
"465","2022-02","Chelsea",37
"466","2022-03","Chelsea",23
"467","2022-04","Chelsea",40
"468","2022-05","Chelsea",23
"469","2022-06","Chelsea",11
"470","2022-07","Chelsea",25
"471","2022-08","Chelsea",30
"472","2022-09","Chelsea",20
"473","2022-10","Chelsea",31
"474","2022-11","Chelsea",17
"475","2022-12","Chelsea",11
"476","2023-01","Chelsea",32
"477","2023-02","Chelsea",31
"478","2023-03","Chelsea",24
"479","2023-04","Chelsea",50
"480","2023-05","Chelsea",27
